,Iriginite,Brannerite,Ulrichite,Kasolite,Carlosbarbosaite,Crichtonite,Haiweeite,Meta-autunite,Senaite,Uranophane-_,Yingjiangite,Metatorbernite,Phurcalite,Demesmaekerite,Derriksite,Marthozite,Rutherfordine,Fourmarierite,Metatorbernite,Richetite,Sal_eite,Schoepite,Sengierite,Vandenbrandeite,Vandendriesscheite,W_lsendorfite,Wyartite II,Johannite,Metazeunerite,Walpurgite,Znucalite,Metarauchite,Widenmannite,Parsonsite,Dewindtite,Curienite,Francevillite,Vanuralite,Heisenbergite,Metauranocircite-I,Arsenuranospathite,Metaheinrichite,Bassetite,Sabugalite,Chistyakovaite,Strelkinite,Uramarsite,Margaritasite,Sklodowskite,Cliffordite,Schmitterite,Boltwoodite,Davidite-(Ce),Euxenite-(Y),Natroboltwoodite,Calcurmolite,Calciouranoite,Mar_cottite,Arapovite,Carnotite,Davidite-(La),Tyuyamunite,Weeksite,Liebigite,Ishikawaite,Uraninite,Uranopilite,Uranophane-_,Heinrichite,Andersonite,Bayleyite,Blatonite,Coconinoite,Oswaldpeetersite,Coffinite,Haynesite,Holfertite,Larisaite,Voglite,Zellerite,Cleusonite,Cuprosklodowskite,Kasolite,Soddyite,Billietite,Curite,Guilleminite,Schoepite,Roubaultite,Triangulite,Umohoite,Yttrotantalite-(Y)
Holfertite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Larisaite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
Voglite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zellerite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cleusonite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuprosklodowskite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kasolite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soddyite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Billietite,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,
Curite,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,,
Guilleminite,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,,,,
Schoepite,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,
Roubaultite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triangulite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Umohoite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yttrotantalite-(Y),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
